,agg_net_price_per_unit,aggregator_name,disc_code,disc_percentage,e_backup_product_id,e_product_id,imprint,misc_product_ids,net_units,p_backup_product_id,p_product_id,pod,product_format,product_title,product_type,publisher_price,region_of_sale,revenue_value,sale_type,temp_transaction_date,tnf_net_price_per_unit,total_rental_duration,total_returns_count,total_returns_value,total_sales_count,total_sales_value,trans_currency,trans_type,transaction_date,vendor_code
61,36.76,GOOGLE,NA,0.19999999999999996,NA,9781317298236,Routledge,NA,1,NA,NA,NA,NA,Sound Design Theory and Practice: Working with Sound,EBK,45.95,CA,36.76,PURCHASE,31-10-2019,36.76,0,0,0.0,1,36.76,CAD,SALE,31-10-2019,NA
62,54.85,GOOGLE,NA,0.19999999999999996,NA,9781466510180,CRC Press,NA,1,NA,NA,NA,NA,"Fuels, Energy, and the Environment",EBK,68.56,CA,54.85,PURCHASE,31-10-2019,54.85,0,0,0.0,1,54.85,CAD,SALE,31-10-2019,NA
63,56.8,GOOGLE,NA,0.19999999999999996,NA,9781317964667,Routledge,NA,1,NA,NA,NA,NA,Routledge International Handbook of Ignorance Studies,EBK,71.0,CA,56.8,PURCHASE,31-10-2019,56.8,0,0,0.0,1,56.8,CAD,SALE,31-10-2019,NA
64,52.0,GOOGLE,NA,0.19999999999999996,NA,9781136273209,Routledge,NA,1,NA,NA,NA,NA,Case Conceptualization: Mastering this Competency with Ease and Confidence,EBK,65.0,CA,52.0,PURCHASE,31-10-2019,52.0,0,0,0.0,1,52.0,CAD,SALE,31-10-2019,NA
65,54.03,GOOGLE,NA,0.19999999999999996,NA,9781136304378,Routledge,NA,1,NA,NA,NA,NA,Moral Psychology: A Contemporary Introduction,EBK,67.54,CA,54.03,PURCHASE,31-10-2019,54.03,0,0,0.0,1,54.03,CAD,SALE,31-10-2019,NA
66,67.55,GOOGLE,NA,0.19999999999999996,NA,9781135715595,Routledge,NA,1,NA,NA,NA,NA,Criminal Insurgencies in Mexico and the Americas,EBK,84.44,CA,67.55,PURCHASE,31-10-2019,67.55,0,0,0.0,1,67.55,CAD,SALE,31-10-2019,NA
67,71.83,GOOGLE,NA,0.19999999999999996,NA,9781439856642,CRC Press,NA,1,NA,NA,NA,NA,Manual Lifting: A Guide to the Study of Simple and Complex Lifting Tasks,EBK,89.79,CA,71.83,PURCHASE,31-10-2019,71.83,0,0,0.0,1,71.83,CAD,SALE,31-10-2019,NA
68,43.1,GOOGLE,NA,0.19999999999999996,NA,9780429822919,Routledge,NA,1,NA,NA,NA,NA,Pricing Strategy Implementation: Translating Pricing Strategy into Results,EBK,53.87,CA,43.1,PURCHASE,31-10-2019,43.1,0,0,0.0,1,43.1,CAD,SALE,31-10-2019,NA
69,52.24,GOOGLE,NA,0.19999999999999996,NA,9781351977944,Routledge,NA,1,NA,NA,NA,NA,Living Languages and New Approaches to Language Revitalisation Research,EBK,65.3,CA,52.24,PURCHASE,31-10-2019,52.24,0,0,0.0,1,52.24,CAD,SALE,31-10-2019,NA
70,56.11,GOOGLE,NA,0.19999999999999996,NA,9781351955690,Routledge,NA,1,NA,NA,NA,NA,Beyond Aviation Human Factors: Safety in High Technology Systems,EBK,70.14,CA,56.11,PURCHASE,31-10-2019,56.11,0,0,0.0,1,56.11,CAD,SALE,31-10-2019,NA
71,187.2,GOOGLE,NA,0.19999999999999996,NA,9781317281795,Routledge,NA,1,NA,NA,NA,NA,Introduction to Forensic Anthropology,EBK,234.0,CA,187.2,PURCHASE,31-10-2019,187.2,0,0,0.0,1,187.2,CAD,SALE,31-10-2019,NA
72,50.94,GOOGLE,NA,0.19999999999999996,NA,9781351602464,CRC Press,NA,1,NA,NA,NA,NA,Game Anim: Video Game Animation Explained: A Complete Guide to Video Game Animation,EBK,63.67,CA,50.94,PURCHASE,31-10-2019,50.94,0,0,0.0,1,50.94,CAD,SALE,31-10-2019,NA
73,52.99,GOOGLE,NA,0.19999999999999996,NA,9781134675852,Routledge,NA,1,NA,NA,NA,NA,Attachment and Development,EBK,66.24,CA,52.99,PURCHASE,31-10-2019,52.99,0,0,0.0,1,52.99,CAD,SALE,31-10-2019,NA
74,57.6,GOOGLE,NA,0.19999999999999996,NA,9781351562638,Routledge,NA,1,NA,NA,NA,NA,Interaction and Nonlinear Effects in Structural Equation Modeling,EBK,72.0,CA,57.6,PURCHASE,31-10-2019,57.6,0,0,0.0,1,57.6,CAD,SALE,31-10-2019,NA
75,58.18,GOOGLE,NA,0.19999999999999996,NA,9781317273387,Routledge,NA,1,NA,NA,NA,NA,Islam in Historical Perspective,EBK,72.73,CA,58.18,PURCHASE,31-10-2019,58.18,0,0,0.0,1,58.18,CAD,SALE,31-10-2019,NA
76,46.75,GOOGLE,NA,0.19999999999999996,NA,9780429603907,Routledge,NA,1,NA,NA,NA,NA,"Witch-Hunting in Scotland: Law, Politics and Religion",EBK,58.44,CA,46.75,PURCHASE,31-10-2019,46.75,0,0,0.0,1,46.75,CAD,SALE,31-10-2019,NA
77,130.62,GOOGLE,NA,0.19999999999999996,NA,9781351067232,Routledge,NA,1,NA,NA,NA,NA,"Internship, Practicum, and Field Placement Handbook: A Guide for the Helping Professions",EBK,163.27,CA,130.62,PURCHASE,31-10-2019,130.62,0,0,0.0,1,130.62,CAD,SALE,31-10-2019,NA
78,52.24,GOOGLE,NA,0.19999999999999996,NA,9781351977852,Routledge,NA,1,NA,NA,NA,NA,Managing Airports: An International Perspective,EBK,65.3,CA,52.24,PURCHASE,31-10-2019,52.24,0,0,0.0,1,52.24,CAD,SALE,31-10-2019,NA
79,78.99,GOOGLE,NA,0.19999999999999996,NA,9781317507376,Routledge,NA,1,NA,NA,NA,NA,Advertising and Public Relations Research,EBK,98.74,CA,78.99,PURCHASE,31-10-2019,78.99,0,0,0.0,1,78.99,CAD,SALE,31-10-2019,NA
80,39.47,GOOGLE,NA,0.19999999999999996,NA,9781351278300,Routledge,NA,1,NA,NA,NA,NA,Embedded Sustainability: The Next Big Competitive Advantage,EBK,49.34,CA,39.47,PURCHASE,31-10-2019,39.47,0,0,0.0,1,39.47,CAD,SALE,31-10-2019,NA
81,60.8,GOOGLE,NA,0.19999999999999996,NA,9781317184980,CRC Press,NA,1,NA,NA,NA,NA,"Advertising in Developing and Emerging Countries: The Economic, Political and Social Context",EBK,76.0,CA,60.8,PURCHASE,31-10-2019,60.8,0,0,0.0,1,60.8,CAD,SALE,31-10-2019,NA
82,60.8,GOOGLE,NA,0.19999999999999996,NA,9781317184980,CRC Press,NA,-1,NA,NA,NA,NA,"Advertising in Developing and Emerging Countries: The Economic, Political and Social Context",EBK,76.0,CA,-60.8,REFUNDS,31-10-2019,60.8,0,1,60.8,0,0.0,CAD,SALE,31-10-2019,NA
83,47.79,GOOGLE,NA,0.19999999999999996,NA,9781136706295,Routledge,NA,1,NA,NA,NA,NA,"Colonial Saints: Discovering the Holy in the Americas, 1500–1800",EBK,59.74,CA,47.79,PURCHASE,31-10-2019,47.79,0,0,0.0,1,47.79,CAD,SALE,31-10-2019,NA
84,82.29,GOOGLE,NA,0.19999999999999996,NA,9781482285819,CRC Press,NA,1,NA,NA,NA,NA,Experimental Mathematics with Maple,EBK,102.86,CA,82.29,PURCHASE,31-10-2019,82.29,0,0,0.0,1,82.29,CAD,SALE,31-10-2019,NA
85,80.03,GOOGLE,NA,0.19999999999999996,NA,9781135441777,Routledge,NA,1,NA,NA,NA,NA,Linguistic Semantics,EBK,100.04,CA,80.03,PURCHASE,31-10-2019,80.03,0,0,0.0,1,80.03,CAD,SALE,31-10-2019,NA
86,33.23,GOOGLE,NA,0.19999999999999996,NA,9781136783234,Routledge,NA,1,NA,NA,NA,NA,Gender Trouble: Feminism and the Subversion of Identity,EBK,41.54,CA,33.23,PURCHASE,31-10-2019,33.23,0,0,0.0,1,33.23,CAD,SALE,31-10-2019,NA
87,156.76,GOOGLE,NA,0.19999999999999996,NA,9780429670268,Routledge,NA,1,NA,NA,NA,NA,Behavior Modification: What It Is and How To Do It,EBK,195.95,CA,156.76,PURCHASE,31-10-2019,156.76,0,0,0.0,1,156.76,CAD,SALE,31-10-2019,NA
88,51.95,GOOGLE,NA,0.19999999999999996,NA,9781136662614,Routledge,NA,1,NA,NA,NA,NA,Philosophy of Science: A Contemporary Introduction,EBK,64.94,CA,51.95,PURCHASE,31-10-2019,51.95,0,0,0.0,1,51.95,CAD,SALE,31-10-2019,NA
89,77.06,GOOGLE,NA,0.19999999999999996,NA,9781482241150,CRC Press,NA,1,NA,NA,NA,NA,Equine Endoscopy and Arthroscopy for the Equine Practitioner,EBK,96.32,CA,77.06,PURCHASE,31-10-2019,77.06,0,0,0.0,1,77.06,CAD,SALE,31-10-2019,NA
